12Sgr		18 13 02.4958	-23 07 02.2152
HD158596	17 31 03.4621	-21 29 07.0375
HD162717	17 53 25.9662	-24 15 55.5410
HD164581	18 02 37.3194	-20 44 15.4563
HD165246	18 06 04.6820	-24 11 43.8890
HD165517	18 07 27.2472	-25 06 16.5000
HD166443	18 11 24.3117	-20 42 45.0047
HD166566	18 11 50.9132	-15 40 47.5071
HD166568	18 12 04.0015	-18 43 35.4290
HD166666	18 12 18.4426	-15 34 03.1010
HD167375	18 15 45.2294	-18 57 12.1050
HD167902	18 18 04.6770	-17 57 27.3100
HD168021	18 18 43.2625	-18 37 10.7880
HD169315	18 24 44.5036	-16 47 49.8315
HIC90110	18 23 19.1514	-18 34 29.1545
TYC6849-19-1	17 52 58.1430	-27 36 00.4390
NSV10660	18 21 05.5340	-18 27 19.7400
