HD162718	17 53 28.4413	-24 46 27.7110
HD162719	17 53 34.2225	-27 16 57.5272
HD163848	17 59 03.6691	-20 03 44.5640
HD164190	18 00 51.5230	-18 58 04.1020
HD164224	18 00 57.6140	-20 59 17.2063
HD164637	18 03 01.7124	-22 43 06.5692
HD164703	18 03 24.3588	-22 18 32.2070
HD165223	18 05 50.9985	-22 12 16.0710
HD165808	18 08 28.7531	-16 24 59.9860
HD165892	18 09 04.8122	-21 24 24.8400
HD166052	18 09 44.4417	-18 50 39.8333
HD166291	18 10 38.2461	-19 10 00.8196
HD166524	18 11 46.7915	-18 22 52.3432
HD166546	18 11 57.0982	-20 25 24.1379
HD167379	18 15 41.4881	-20 10 52.0370
HD167976	18 18 22.7055	-18 28 32.2920
HD168355	18 20 21.1568	-27 24 27.7534
HD168448	18 20 27.4439	-17 06 48.5180
HD168489	18 20 38.9352	-17 44 55.0420
HD168525	18 21 12.4078	-26 05 06.4164
HD168765	18 22 09.1090	-17 25 38.3620
HD169271	18 24 42.5098	-18 16 50.6060
