HD164637	18 03 01.7124	-22 43 06.5692
HD168021	18 18 43.2625	-18 37 10.7880
HD164581	18 02 37.3194	-20 44 15.4563
HD167976	18 18 22.7055	-18 28 32.2920
HD168525	18 21 12.4078	-26 05 06.4164
HD162719	17 53 34.2225	-27 16 57.5272
12Sgr		18 13 02.4958	-23 07 02.2152
HD168355	18 20 21.1568	-27 24 27.7534
HD168209	18 19 43.2516	-27 30 22.2333
HD164536	18 02 38.6190	-24 15 19.3900
HD166546	18 11 57.0982	-20 25 24.1379
HD164863	18 04 12.6350	-22 30 03.4700
HD165808	18 08 28.7531	-16 24 59.9860
HD166052	18 09 44.4417	-18 50 39.8333
HD166566	18 11 50.9132	-15 40 47.5071
HD164719	18 03 40.3332	-26 52 06.4440
Ve3-61		17 57 15.9980	-21 41 29.1000
HD164816	18 03 56.8660	-24 18 45.2200
HD164438	18 01 52.2823	-19 06 22.0766
HD163848	17 59 03.6691	-20 03 44.5640
HD167375	18 15 45.2294	-18 57 12.1050
HD165854	18 08 48.9343	-18 58 34.4370
HD165246	18 06 04.6820	-24 11 43.8890
HD162718	17 53 28.4413	-24 46 27.7110
HD164224	18 00 57.6140	-20 59 17.2063
HD167379	18 15 41.4881	-20 10 52.0370
HD165517	18 07 27.2472	-25 06 16.5000
HD168489	18 20 38.9352	-17 44 55.0420
HD161851	17 49 00.4124	-25 44 58.3060
HD166443	18 11 24.3117	-20 42 45.0047
HD312973	18 15 36.3972	-20 22 04.1910
HD161342	17 46 00.9954	-22 37 30.6420
HD166569	18 11 53.7757	-19 03 25.4560
HD166965	18 13 51.3749	-18 59 22.1140
HD168352	18 19 53.7644	-17 04 22.0411
HD166188	18 10 18.3216	-18 11 41.3090
HD165892	18 09 04.8122	-21 24 24.8400
HD169315	18 24 44.5036	-16 47 49.8315
HD166291	18 10 38.2461	-19 10 00.8196
HD164741	18 03 44.0818	-25 18 45.0817
HD169271	18 24 42.5098	-18 16 50.6060
HD315033	18 04 23.2276	-24 26 16.7121
HD165321	18 06 29.7722	-24 09 32.9750
BD-175190	18 25 46.5148	-17 04 35.6760
HD162717	17 53 25.9662	-24 15 55.5410
HD166666	18 12 18.4426	-15 34 03.1010
HD164190	18 00 51.5230	-18 58 04.1020
HD166568	18 12 04.0015	-18 43 35.4290
HD166804	18 13 03.3921	-18 18 44.2130
HD166922	18 13 35.1744	-19 17 30.3520
CCDMJ18042-2415AB	18 04 14.5060	-24 14 37.0200
HD168862	18 22 39.9685	-17 24 36.9060
HD168279	18 19 42.7785	-18 09 45.6490
BD-184844B	18 13 46.7660	-18 48 40.3700
HD168765	18 22 09.1090	-17 25 38.3620
HD165945	18 09 02.1230	-15 31 42.1490
BD-224540	18 04 12.2050	-22 27 24.6300
HD167247	18 15 01.1231	-19 12 27.6200
HD168941	18 23 25.5587	-26 57 10.8510
HD168448	18 20 27.4439	-17 06 48.5180
HD165223	18 05 50.9985	-22 12 16.0710
HD164703	18 03 24.3588	-22 18 32.2070
HD165972	18 09 32.5967	-24 39 49.9250
HD164971	18 04 42.1201	-23 27 35.9450
HD167700	18 17 24.8492	-24 24 04.4010
HD158596	17 31 03.4621	-21 29 07.0375
BD-214630	17 31 31.7267	-21 31 20.0320
HD158815	17 32 07.4307	-21 13 10.1231
HD165688	18 07 56.9583	-19 23 56.8589
HD166524	18 11 46.7915	-18 22 52.3432
HD166523	18 11 34.7086	-15 41 35.4280
HD313692	18 03 57.2543	-22 31 22.8060
HD167050	18 14 16.9800	-19 04 08.3000
HD167902	18 18 04.6770	-17 57 27.3100
HD164947A	18 04 41.6750	-24 20 58.7000
HIC90110	18 23 19.1514	-18 34 29.1545
BD-184844C	18 13 45.4900	-18 48 43.5000
NSV10660	18 21 05.5340	-18 27 19.7400
HD164068	18 00 24.1484	-22 57 52.1690
TYC6849-19-1	17 52 58.1430	-27 36 00.4390
HD165465	18 07 11.2121	-26 14 15.7140
HD167638	18 16 52.4568	-19 46 40.1700
Haro3-38	18 06 01.1600	-28 17 04.2000
HD169173	18 24 08.1590	-17 51 48.7260
HD313696	18 04 24.3120	-22 26 18.8072
BD-224544	18 04 20.7169	-22 29 22.0810
TYC6263-93-1	18 03 41.7420	-22 10 58.8500
HD165953	18 09 33.3602	-27 52 08.4780
ESO456-65	18 10 43.8600	-27 57 50.1000
